module_or_function,stage,unit,criterion,default_state,timing,current_effect,classification,replacement_disposition,status
src/classical_conditioning/inventory.py::complete_recording_ids,raw discovery,recording,source triplet is complete,enabled,pre-outcome,returns only complete recording IDs,processing status,"retain complete inventory rows for incomplete and complete triplets; never treat incompleteness as behavioral exclusion",active_needs_coverage_join
src/classical_conditioning/pipeline.py::resolve_pipeline_recording_ids,pipeline selection,recording,optional keep_conditions filename filter,optional,pre-outcome,limits recordings entering processing,processing scope,"record condition scope in frozen experiment inventory; do not use as fish QC",active_needs_cohort_integration
src/classical_conditioning/pipeline.py::resolve_pipeline_recording_ids,pipeline selection,recording,optional explicit recording_ids,optional,pre-outcome,allows arbitrary recording subset,manual population selection,"allow only for per-recording processing; population analyses must require cohort_id",active_needs_interface_restriction
src/classical_conditioning/pipeline.py::run_pipeline,intake,recording,continue after intake failure,enabled,pre-outcome,failed recordings leave the active processing list,processing failure,"retain every expected recording in sample flow with failure reason",active_needs_inventory_reconciliation
src/classical_conditioning/preprocessing/corrected_frame_preprocessing.py::build_corrected_preprocessing,preprocessing,frame,finite timestamp and minimum valid tracked-point fraction,enabled,pre-outcome,marks frames invalid but retains rows,row validity,"retain validity flags and summarize for technical cohort review",implemented_correctly
src/classical_conditioning/preprocessing/candidate_metric_kernel.py::compute_candidate_metrics,metric construction,frame,finite geometry and minimum valid tail fraction,enabled,pre-outcome,sets invalid frame metrics to missing,row validity,"retain missingness and coverage; never discard fish here",implemented_correctly
src/classical_conditioning/analysis/movement_state.py::build_movement_state,movement detection,frame_or_bout,detector-valid coverage and minimum bout duration,enabled,post-metric,marks frames invalid and removes short detected bouts,row validity,"retain detector validity and bout disposition; do not convert to fish exclusion",implemented_correctly
src/classical_conditioning/analysis/trial_outcomes.py::build_trial_outcomes,trial outcomes,trial_or_window,finite detector-valid baseline and response samples,enabled,post-outcome,writes missing outcomes plus sample counts,row validity,"retain every scheduled trial and its validity reason",implemented_correctly
src/classical_conditioning/cohort.py::apply_cohort,population boundary,fish,reviewed primary_included flag,required,pre-population-inference,filters to the named frozen population,cohort decision,"apply once in cohort-trial-outcomes and authenticate cohort hash",implemented_authoritative_boundary
src/classical_conditioning/analysis/cohort_outcomes.py::build_analysis_eligibility,model eligibility,trial,finite positive baseline plus required window coverage and outcome-specific validity,required,post-cohort,labels eligible observations without changing cohort membership,analysis eligibility,"retain explicit cohort-authenticated trial eligibility outside assess-discarding",implemented_correctly
src/classical_conditioning/figures/cohort_response.py::aggregate_selected_blocks,descriptive figure,fish_block,minimum finite response-to-baseline trial ratios,3 trials,post-outcome,omits ineligible fish-block points from display,display eligibility,"retain eligibility and contributing counts in panel data; never rewrite cohort",implemented_figure_specific
src/classical_conditioning/analysis/metric_comparison.py::build_metric_comparison,metric comparison,recording_or_trial,manual recording list and complete finite baseline/response values,required,post-outcome,defines an independent exploratory population,analysis eligibility_and_manual_population,"migrate population mode to cohort-trial-outcomes; preserve trial validity as eligibility",active_bypass
src/classical_conditioning/analysis/candidate_runner.py::run_candidate_analysis,candidate orchestration,recording,manual recording_ids,required,pre-population-inference,defines analysis membership independently,manual population selection,"restrict to per-recording production or derive IDs from frozen cohort",active_bypass
src/classical_conditioning/analysis/inference/model_input.py::build_model_input,exploratory inference,recording_or_trial,manual recordings plus minimum valid samples and finite response/baseline,required,post-outcome,drops incomplete trial rows and defines population locally,analysis eligibility_and_manual_population,"replace supported population use with cohort table plus analysis-eligibility artifact",active_bypass
